iter	Logloss
0	0.6869557069
1	0.6816982653
2	0.6754327984
3	0.6705901745
4	0.6646521287
5	0.6597109447
6	0.6550053718
7	0.6501630763
8	0.6445705387
9	0.6401520608
10	0.6354447764
11	0.6311278408
12	0.6275950545
13	0.6227379704
14	0.6192642437
15	0.6161258486
16	0.612441714
17	0.6095423421
18	0.6053971317
19	0.602071592
20	0.5982553539
21	0.5944030433
22	0.5915792139
23	0.5874315155
24	0.5839225701
25	0.5800286941
26	0.5759784749
27	0.5722195272
28	0.5693347356
29	0.5659555398
30	0.5629751487
31	0.5603984932
32	0.5569783033
33	0.5541491764
34	0.5519057871
35	0.5490068481
36	0.5462940863
37	0.5426121372
38	0.5391897209
39	0.5370146781
40	0.5343837635
41	0.5315938989
42	0.528487965
43	0.5258303125
44	0.5235657698
45	0.5206035736
46	0.5179781641
47	0.5154372861
48	0.5126804768
49	0.5099601627
50	0.5082339203
51	0.5060268103
52	0.5039489006
53	0.5021641138
54	0.5002931352
55	0.4977880391
56	0.4957953196
57	0.494026967
58	0.491921837
59	0.4893894381
60	0.4878197924
61	0.4859734297
62	0.4840091973
63	0.4825560996
64	0.4808697237
65	0.4795662856
66	0.4775203964
67	0.4760091797
68	0.4746371859
69	0.4732157659
70	0.4722094538
71	0.4707646542
72	0.4695126936
73	0.4681150526
74	0.4664300884
75	0.4649013772
76	0.4635619913
77	0.4624056445
78	0.4610320257
79	0.4600561063
80	0.4585451518
81	0.4575333118
82	0.4559295548
83	0.4544327118
84	0.4532332543
85	0.4517278605
86	0.4499784
87	0.4487479573
88	0.4472219006
89	0.4459100004
90	0.4448000721
91	0.4436745293
92	0.442141845
93	0.4411720313
94	0.440040318
95	0.4394795182
96	0.4386900547
97	0.4374097806
98	0.4366060775
99	0.4353835073
100	0.4341752788
101	0.4333315079
102	0.4328828067
103	0.431971999
104	0.4309912815
105	0.4301307379
106	0.4290809254
107	0.4281714846
108	0.4272561889
109	0.4259743504
110	0.4252472433
111	0.4243023945
112	0.4235547493
113	0.4225934492
114	0.4218638909
115	0.4210766107
116	0.4205571709
117	0.420035763
118	0.4191690144
119	0.4184024788
120	0.4175824504
121	0.4168862438
122	0.4161078261
123	0.415554805
124	0.4149870761
125	0.4141513504
126	0.4131995249
127	0.4124115183
128	0.411334392
129	0.4106234236
130	0.4101142175
131	0.4091124241
132	0.4088651774
133	0.4086606102
134	0.4081879422
135	0.4076974054
136	0.4068286835
137	0.4063472979
138	0.4060337633
139	0.4053680001
140	0.4048624372
141	0.4041537459
142	0.4040086498
143	0.403517159
144	0.4029221265
145	0.4022789278
146	0.4015967463
147	0.4010996254
148	0.4005189736
149	0.3999078811
150	0.3989825746
151	0.3982596654
152	0.3976006673
153	0.3972766412
154	0.3967899399
155	0.3960426034
156	0.3952825518
157	0.3946306794
158	0.3943489863
159	0.3937179926
160	0.3932891965
161	0.3929049453
162	0.3925224952
163	0.3921882666
164	0.3915254223
165	0.3911643589
166	0.3909244064
167	0.3904814368
168	0.390034268
169	0.3895366278
170	0.3891505636
171	0.3886402084
172	0.3883511585
173	0.3878721691
174	0.3875622839
175	0.3870844892
176	0.3865548389
177	0.3859541627
178	0.3856677934
179	0.3852925395
180	0.3846760049
181	0.3845462405
182	0.3842347484
183	0.383943498
184	0.3835602632
185	0.3833785795
186	0.3827825127
187	0.3822623305
188	0.382202232
189	0.3818979175
190	0.3814941514
191	0.3810751122
192	0.3806688366
193	0.3804566541
194	0.3803562588
195	0.3800024185
196	0.3795054775
197	0.3793509815
198	0.3789293182
199	0.3784109782
200	0.3782055785
201	0.3778430207
202	0.3774583537
203	0.3771691854
204	0.3769100797
205	0.376530236
206	0.3761871801
207	0.3756305519
208	0.3753039902
209	0.3750557642
210	0.3747636484
211	0.3745500592
212	0.3741179758
213	0.3740991685
214	0.3737886662
215	0.3736152002
216	0.3734038074
217	0.3730909513
218	0.3727383396
219	0.3725219754
220	0.3721941674
221	0.3718269889
222	0.3716800991
223	0.3712112227
224	0.3709236826
225	0.37077645
226	0.3704272194
227	0.3701138368
228	0.369845036
229	0.3696257525
230	0.369427548
231	0.3692521135
232	0.3689579917
233	0.3686735675
234	0.3684503746
235	0.3681312167
236	0.3678631103
237	0.367683383
238	0.3673893862
239	0.3670901264
240	0.3668803956
241	0.3666997383
242	0.366544301
243	0.366301558
244	0.3659213847
245	0.3657170797
246	0.3655850127
247	0.3653059406
248	0.3652239459
249	0.3649139101
250	0.3645379399
251	0.3642261092
252	0.364039283
253	0.3638805862
254	0.3637538281
255	0.3635092238
256	0.3632566918
257	0.3631676488
258	0.3628965114
259	0.3625121008
260	0.3623078931
261	0.3619445316
262	0.3618202321
263	0.3615692114
264	0.3612116341
265	0.3609831051
266	0.3606023402
267	0.3605045186
268	0.3604019111
269	0.3603004835
270	0.3599272494
271	0.3598531408
272	0.3594811176
273	0.3591806942
274	0.3590575136
275	0.3588156962
276	0.3585797457
277	0.3584465408
278	0.3583196174
279	0.3580082771
280	0.3578426317
281	0.3577076256
282	0.3575565106
283	0.3572511603
284	0.357052776
285	0.3567380448
